Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Target_Action_Level
33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,16.0,20.0,18.0,0
33,10,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,1
33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,0
33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,2.0,3.0,2.5,1
34,7,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.0,2.0,2.0,1
34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2.0,2.0,2.0,0
34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,2.0,2.0,2.0,0
34,8,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2.0,3.0,2.5,1
34,8,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,2.0,3.0,2.5,0
34,8,1,1,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16.0,20.0,18.0,1
34,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,16.0,20.0,18.0,1
34,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,16.0,20.0,18.0,0
34,10,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1.0,1.0,1.0,0
34,10,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,1.0,1.0,1.0,1
34,14,1,2,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16.0,20.0,18.0,0
34,14,1,2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,14,16.0,20.0,18.0,1
34,14,1,2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,16.0,20.0,18.0,1
35,8,1,1,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,14,16.0,20.0,18.0,1
35,8,1,1,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,16.0,20.0,18.0,1
35,8,1,1,0,1,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16.0,20.0,18.0,0
35,10,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,1
35,10,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2.0,3.0,2.5,0
35,10,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,2.0,3.0,2.5,0
35,10,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1.0,2.0,1.5,1
35,10,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,1.0,2.0,1.5,0
35,10,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,4.0,5.0,4.5,0
35,10,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,4.0,5.0,4.5,1
35,10,1,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,16.0,20.0,18.0,1
35,10,1,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,16.0,20.0,18.0,1
35,10,1,2,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16.0,20.0,18.0,0
35,13,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,3.0,4.0,3.5,0
35,13,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,3.0,4.0,3.5,1
35,15,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3.0,3.0,3.0,1
35,15,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,3.0,3.0,3.0,0
35,15,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,15,3.0,3.0,3.0,0
35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,3.0,3.0,3.0,0
35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,3.0,3.0,3.0,0
35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,15,3.0,3.0,3.0,1
36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,4.0,5.0,4.5,0
36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,4.0,5.0,4.5,0
36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,4.0,5.0,4.5,1
