Perceived of Accuracy,Sign Used
100.0,Wn-8
75.0,Wn-1
75.0,Wn-2
83.33333333,Wn-1
83.33333333,Wn-2
83.33333333,Wn-4
83.33333333,Wn-7
100.0,Wn-3
100.0,Wn-7
100.0,Wn-8
100.0,Wn-9
100.0,Wn-13
100.0,Wn-11
70.0,Wn-2
70.0,Wn-7
70.0,Wn-2
70.0,Wn-5
33.33333333,Wn-2
33.33333333,Wn-8
33.33333333,Wn-12
70.0,Wn-4
40.0,Wn-5
70.0,Wn-2
70.0,Wn-5
80.0,Wn-2
80.0,Wn-13
70.0,Wn-2
60.0,Wn-8
80.0,Wn-1
80.0,Wn-13
33.33333333,Wn-3
50.0,Wn-5
25.0,Wn-11
70.0,Wn-2
80.0,Wn-13
71.42857143,Wn-3
71.42857143,Wn-9
60.0,Wn-5
80.0,Wn-9
75.0,Wn-2
75.0,Wn-13
70.0,Wn-2
70.0,Wn-7
62.5,Wn-1
62.5,Wn-6
80.0,Wn-1
80.0,Wn-3
33.33333333,Wn-1
33.33333333,Wn-4
33.33333333,Wn-8
50.0,Wn-2
50.0,Wn-7
50.0,Wn-10
100.0,Wn-17
70.0,Wn-7
70.0,Wn-13
90.0,Wn-7
90.0,Wn-13
70.0,Wn-7
80.0,Wn-9
80.0,Wn-2
60.0,Wn-7
70.0,Wn-2
70.0,Wn-9
80.0,Wn-2
80.0,Wn-13
50.0,Wn-9
50.0,Wn-11
50.0,Wn-13
57.14285714,Wn-5
57.14285714,Wn-7
80.0,Wn-2
60.0,Wn-7
80.0,Wn-9
60.0,Wn-2
60.0,Wn-7
60.0,Wn-4
60.0,Wn-6
60.0,Wn-6
60.0,Wn-9
80.0,Wn-4
60.0,Wn-6
70.0,Wn-2
60.0,Wn-8
80.0,Wn-9
80.0,Wn-13
60.0,Wn-4
60.0,Wn-6
70.0,Wn-2
70.0,Wn-7
60.0,Wn-3
33.33333333,Wn-6
50.0,Wn-9
75.0,Wn-13
70.0,Wn-8
80.0,Wn-11
80.0,Wn-4
70.0,Wn-7
80.0,Wn-9
80.0,Wn-4
80.0,Wn-9
70.0,Wn-6
70.0,Wn-9
70.0,Wn-4
70.0,Wn-8
80.0,Wn-4
80.0,Wn-13
70.0,Wn-2
80.0,Wn-3
60.0,Wn-8
70.0,Wn-8
80.0,Wn-9
62.5,Wn-4
62.5,Wn-12
70.0,Wn-2
70.0,Wn-6
80.0,Wn-7
80.0,Wn-13
80.0,Wn-4
80.0,Wn-12
80.0,Wn-4
80.0,Wn-12
70.0,Wn-7
70.0,Wn-8
70.0,Wn-4
70.0,Wn-8
70.0,Wn-7
70.0,Wn-8
80.0,Wn-4
80.0,Wn-8
60.0,Wn-5
70.0,Wn-6
60.0,Wn-5
80.0,Wn-13
70.0,Wn-6
70.0,Wn-8
70.0,Wn-4
70.0,Wn-8
70.0,Wn-5
70.0,Wn-8
80.0,Wn-4
60.0,Wn-6
