,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
1230,46,20,1,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,4.0,4.0,4,Wn-4: Stay alert/retrieve fishing gear
1231,46,20,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1.0,1.0,1,Wn-5: Be careful
1234,46,20,1,3,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,20,3.0,3.0,3,Wn-2: siaga ditempat
1235,46,20,1,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,20,3.0,3.0,3,Wn-5: Be careful
1237,46,20,1,1,0,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,20,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1238,46,20,1,1,0,3,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,3.0,3.0,3,Wn-13: Stay alert/retrieve fishing gear
1243,46,21,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1244,46,21,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,4.0,4.0,4,Wn-8: Be careful
1247,46,21,1,1,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,3.0,3.0,3,Wn-1: Adjust fishing time
1248,46,21,1,1,0,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,21,3.0,3.0,3,Wn-13: Be careful
1250,47,20,1,1,0,3,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,3.0,3.0,3,Wn-3: Be careful
1251,47,20,1,1,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,2.0,2.0,2,Wn-5: Be careful
1252,47,20,1,1,0,3,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4.0,4.0,4,Wn-11: Be careful
1256,47,20,1,1,0,3,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1257,47,20,1,1,0,3,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3.0,3.0,3,Wn-13: Be careful
1260,47,20,1,2,0,3,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,20,5.0,5.0,5,Wn-3: Adjust fishing time
1261,47,20,1,2,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,5.0,5.0,5,Wn-9: Be careful
1264,47,21,1,1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1.0,1.0,1,Wn-5: Be careful
1265,47,21,1,1,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,4.0,4.0,4,Wn-9: Adjust fishing time
1267,47,22,1,2,0,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,20,5.0,5.0,5,Wn-2: siaga ditempat
