Respondent_ID;Age;Fishing Experience;Province;Beach;Fishing Role;Experience as Head of Communities;Boat Type;Fishing Duration;Usage of LIK;Benefit from LIK;Experience with Disaster;Number of Experience with Disaster;Usage of ICT;BMKG;Radio;Cuaca;GPS;Fish Finder;MSW Paris;Radar Kapal;Surf Parangtritis;Windy;Benefit from ICT;B.1;B.2;B.3;B.4;B.5;B.6;Level of Interaction with Disaster;LIK Combination;C-1;Cr-1;Cr-2;Cr-3;Cr-4;Td-1;Td-2;Td-3;Ts-1;Ts-2;Ts-3;Ts-4;Ts-5;Ts-6;Ts-7;Wn-1;Wn-10;Wn-11;Wn-12;Wn-13;Wn-14;Wn-15;Wn-16;Wn-17;Wn-2;Wn-3;Wn-4;Wn-5;Wn-6;Wn-7;Wn-8;Wn-9;Wth-1;Wth-2;Wv-1;Wv-2;Wv-3;Number of LIK Combination;Usage Persistance;Usage Duration;Frequency of Usage (min) (in month);Frequency of Usage (max) (in month);Average Frequency of Usage (in month);Number of Prediction Made (the last month, except tsunami);Disaster Happen (the last month, except tsunami);Perceived of Accuracy;Action Anticipation (Respon based on LIK codes)
12;26;7;1;1;1;0;4;1;1;1;B.2, B.4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;Wn-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;16;20;18;5;2;40;Wn-14: Be careful
12;26;7;1;1;1;0;4;1;1;1;B.2, B.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;7;5;7;6;4;4;100;Wth-1: Stop fishing activities
13;26;7;1;1;1;0;4;1;1;1;B.4;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;7;3;4;3,5;13;8;61,53846154;Wth-1: Stop fishing activities
14;27;4;1;1;1;0;4;1;1;1;B.5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;Cr-2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;15;3;4;3,5;5;3;60;Cr-2: Be careful
15;27;4;1;2;1;0;4;1;1;1;B-4, B-5;2;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;Wn-8, Wn-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;5;2;2;2;5;5;100;Wn-8: Adjust fishing time
15;27;4;1;2;1;0;4;1;1;1;B-4, B-5;2;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;Wn-8, Wn-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;2;2;2;5;5;100;Wn-10: Be careful
15;27;4;1;2;1;0;4;1;1;1;B-4, B-5;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;2;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;5;1;1;1;1;1;100;Wth-1: Stop fishing activities
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;6;Wn-2, Wn-7, Wn-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-2: Adjust fishing time
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;6;Wn-2, Wn-7, Wn-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-7: Repair boat
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;6;Wn-2, Wn-7, Wn-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-14: Be careful
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;5;Wv-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;5;5;6;5,5;13;10;76,92307692;Wv-2: Adjust fishing equipment
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;3;Td-1, Td-2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;16;24;20;12;10;83,33333333;Td-1: Adjust fishing time
